X,Y,Z,Cu,Mo
4301.0,5196.3701,5186.125,-0.6931451805619453,-3.9119730066781044
4301.0,5192.9653,5179.4424,-0.48613138516068094,-2.995712273753988
4301.0,5188.4253,5170.5322,-0.6674774844955286,-2.292624861199793
4301.0,5181.6157,5157.1675,-0.5833945244877364,-2.8646864674418295
4301.0,5174.8057,5143.8022,-0.4185488279011357,-2.419107673358064
4301.0,5167.9956,5130.437,-0.5621171637691152,-3.2968103396761093
4301.0,5161.186,5117.0723,-0.648171902873153,-3.2968103396761093
4301.0,5154.376,5103.707,-0.597835182575455,-3.352378646472307
4301.0,5147.5664,5090.3418,-0.5242469549103689,-3.3813653430337873
4301.0,5140.7563,5076.9766,-0.5378525838266089,-3.5065245645421914
4301.0,5133.9463,5063.6118,-0.4926566831506699,-2.9004039120967717
4301.0,5127.1367,5050.2466,-0.48450669207331154,-2.9004039120967717
4301.0,5120.3267,5036.8813,-0.5851882437243281,-3.540424966831559
4301.0,5113.5171,5023.5161,-0.6161842875736797,-3.1235429180494094
4301.0,5106.707,5010.1514,-0.6273575673645195,-3.540424966831559
4301.0,5099.897,4996.7861,-0.6273575673645195,-3.5755150551589585
4301.0,5093.0874,4983.4209,-0.6051344717370776,-3.611881376626625
4301.0,5086.2773,4970.0562,-0.5960186549488367,-3.77221758573727
4301.0,5079.4678,4956.6909,-0.6292319786454446,-3.6496202801618196
4301.0,5072.6577,4943.3257,-0.6405528329093682,-3.77221758573727
4301.0,5065.8481,4929.9604,-0.597835182575455,-3.611881376626625
4301.0,5059.0381,4916.5957,-0.5887853634355238,-3.1235429180494094
4301.0,5052.228,4903.2305,-0.6143341517085282,-3.4419881266706813
4301.0,5045.4185,4889.8652,-0.5942054211124796,-3.2188508251806955
4301.0,5038.6084,4876.5005,-0.5259375695300931,-3.540424966831559
4301.0,5031.7988,4863.1353,-0.5499112793732863,-3.611881376626625
4301.0,5024.9888,4849.77,-0.5586145393521191,-3.77221758573727
4301.0,5018.1787,4836.4048,-0.6236192522414336,-3.540424966831559
4301.0,5011.3691,4823.04,-0.5851882437243281,-3.6496202801618196
4301.0,5004.5591,4809.6748,-0.5673942115875099,-3.77221758573727
4301.0,4997.7495,4796.3096,-0.48450669207331154,-3.6888394549139147
4301.0,4990.9395,4782.9443,-0.5327287555779789,-3.77221758573727
4301.0,4984.1294,4769.5796,-0.4338630394211765,-3.77221758573727
4301.0,4977.3198,4756.2144,-0.39304110662922304,-3.5755150551589585
4301.0,4970.5098,4742.8491,-0.48450669207331154,-3.473735816952755
4301.0,4963.7002,4729.4844,-0.6143341517085282,-3.6496202801618196
4301.0,4956.8901,4716.1191,-0.5744738746450899,-3.6496202801618196
4301.0,4950.0806,4702.7539,-0.4992248404775378,-3.5065245645421914
4301.0,4943.2705,4689.3887,-0.5798167095402507,-3.611881376626625
4301.0,4936.4604,4676.0239,-0.527631047168554,-3.611881376626625
4301.0,4929.6509,4662.6587,-0.6051344717370776,-3.611881376626625
4301.5098,4410.7397,5135.6348,-0.597835182575455,-3.2968103396761093
4301.5098,4416.4146,5124.4976,-0.5516458821766418,-3.036533434957924
4301.5098,4423.2246,5111.1323,-0.5025251680600996,-2.9759100386069055
4301.5098,4430.0347,5097.7671,-0.5656320996991553,-3.2188508251806955
4301.5098,4436.8442,5084.4023,-0.5780325909298349,-3.324208563134045
4301.5098,4443.6543,5071.0371,-0.6217553222776132,-3.5065245645421914
4301.5098,4450.4639,5057.6719,-0.5798167095402507,-3.352378646472307
4301.5098,4457.2739,5044.3066,-0.5869851861720209,-3.4419881266706813
4301.5098,4464.084,5030.9419,-0.5996550159806404,-3.411217414944481
4301.5098,4470.8936,5017.5767,-0.5191921927656508,-3.4419881266706813
4301.5098,4477.7036,5004.2114,-0.5395663773672496,-2.9187527140708096
4301.5098,4484.5132,4990.8462,-0.5175129340658459,-3.244167992155575
4301.5098,4491.3232,4977.4814,-0.5158364905490618,-2.9759100386069055
4301.5098,4498.1333,4964.1162,-0.5447254513052273,-3.5065245645421914
4301.5098,4504.9429,4950.751,-0.4910213624842178,-3.270142803812532
4301.5098,4511.7529,4937.3862,-0.5175129340658459,-3.2188508251806955
4301.5098,4518.5625,4924.021,-0.5568678170682223,-3.540424966831559
4301.5098,4525.3726,4910.6558,-0.597835182575455,-3.611881376626625
4301.5098,4532.1821,4897.2905,-0.6014781672182681,-3.611881376626625
4301.5098,4538.9922,4883.9258,-0.6161842875736797,-3.5755150551589585
4301.5098,4545.8022,4870.5605,-0.6106441174292712,-3.540424966831559
4301.5098,4552.6118,4857.1953,-0.6051344717370776,-3.3813653430337873
4301.5098,4559.4219,4843.8306,-0.6198948600860205,-3.473735816952755
4301.5098,4566.2314,4830.4653,-0.5638730873881063,-3.411217414944481
4301.5098,4573.0415,4817.1001,-0.54817968020745,-3.3813653430337873
4301.5098,4579.8516,4803.7349,-0.597835182575455,-3.3813653430337873
4301.5098,4586.6611,4790.3701,-0.6236192522414336,-3.5065245645421914
4301.5098,4593.4712,4777.0049,-0.5516458821766418,-3.611881376626625
4301.5098,4600.2808,4763.6396,-0.5869851861720209,-3.3813653430337873
4301.5098,4607.0908,4750.2744,-0.5851882437243281,-3.2188508251806955
4301.5098,4613.9009,4736.9097,-0.5923954691431731,-3.5065245645421914
4301.5098,4620.7104,4723.5444,-0.5942054211124796,-3.3813653430337873
4301.5098,4627.5205,4710.1792,-0.5395663773672496,-3.1235429180494094
4301.5098,4634.3301,4696.8145,-0.5499112793732863,-3.2188508251806955
4301.5098,4641.1401,4683.4492,-0.5762516497305983,-3.2968103396761093
4301.5098,4647.9497,4670.084,-0.597835182575455,-3.2968103396761093
4301.5098,4654.7598,4656.7188,-0.5780325909298349,-3.3813653430337873
4301.5098,4661.5698,4643.354,-0.5568678170682223,-3.015914572916489
4301.5098,4668.3794,4629.9888,-0.5395663773672496,-3.270142803812532
3899.95,4787.7222,5244.083,-0.527631047168554,-3.2188508251806955
3899.95,4782.9556,5234.7275,-0.4185488279011357,-2.0249457806668865
3899.95,4776.1455,5221.3623,-0.38272415486409,-2.1892474791554735
3899.95,4769.3354,5207.9971,-0.3467231986594076,-2.5902538322013813
3899.95,4762.5259,5194.6323,-0.37833498086696266,-2.937444497683484
3899.95,4755.7158,5181.2671,-0.42006973842866957,-2.9759100386069055
3899.95,4748.9062,5167.9019,-0.46044783165612574,-2.956492329816388
3899.95,4742.0962,5154.5366,-0.5041794254195535,-2.5010238366702926
3899.95,4735.2861,5141.1719,-0.5041794254195535,-3.036533434957924
3899.95,4728.4766,5127.8066,-0.49429468247186154,-3.036533434957924
3899.95,4721.6665,5114.4414,-0.40346560844062374,-2.6736342817362733
3899.95,4714.8569,5101.0762,-0.26526717383476595,-2.6736342817362733
3899.95,4708.0469,5087.7114,-0.23698769070994297,-2.5010238366702926
3899.95,4701.2368,5074.3462,-0.3481386250593032,-2.419107673358064
3899.95,4694.4272,5060.981,-0.2957129000639269,-2.659245751320532
3899.95,4687.6172,5047.6162,-0.4975787522804805,-2.956492329816388
3899.95,4680.8076,5034.251,-0.45098405355249316,-3.0575864009026774
3899.95,4673.9976,5020.8857,-0.43078137763209917,-2.9759100386069055
3899.95,4667.188,5007.5205,-0.37687619353136664,-2.956492329816388
3899.95,4660.3779,4994.1558,-0.5293273975391223,-3.244167992155575
3899.95,4653.5679,4980.7905,-0.35667351536832426,-3.1235429180494094
3899.95,4646.7583,4967.4253,-0.42006973842866957,-2.703047734329419
3899.95,4639.9482,4954.0605,-0.3638419945694592,-2.7646046797007062
3899.95,4633.1387,4940.6953,-0.4700020292470155,-3.0790921435988987
3899.95,4626.3286,4927.3301,-0.48613138516068094,-3.1235429180494094
3899.95,4619.5186,4913.9648,-0.3638419945694592,-2.207265822321952
3899.95,4612.709,4900.6001,-0.32850267808411165,-2.23491709876951
3899.95,4605.8989,4887.2349,-0.5025251680600996,-3.0790921435988987
3899.95,4599.0894,4873.8696,-0.527631047168554,-2.8646864674418295
3899.95,4592.2793,4860.5044,-0.4620338722962311,-2.733352624589457
3899.95,4585.4692,4847.1396,-0.5361417223500322,-3.352378646472307
3899.95,4578.6597,4833.7744,-0.4620338722962311,-3.2188508251806955
3899.95,4571.8496,4820.4092,-0.5361417223500322,-3.170061851458401
3899.95,4565.04,4807.0444,-0.22941190646696094,-3.244167992155575
3899.95,4558.23,4793.6792,-0.527631047168554,-3.244167992155575
3899.95,4551.4204,4780.314,-0.4700020292470155,-3.170061851458401
3899.95,4544.6104,4766.9487,-0.6348763856452966,-2.1803586107514312
3899.95,4537.8003,4753.584,-0.5361417223500322,-2.7488565707445343
3899.95,4530.9907,4740.2188,-0.5533834990558641,-2.780604765034859
3899.95,4524.1807,4726.8535,-0.44628554012964017,-3.0790921435988987
3899.95,4517.3711,4713.4888,-0.5533834990558641,-3.352378646472307
3899.95,4510.561,4700.1235,-0.37833498086696266,-3.101070567236505
3899.95,4506.021,4691.2134,-0.597835182575455,-3.2188508251806955
3899.95,4382.9556,5217.9375,-0.5310266304046842,-3.015914572916489
3899.95,4376.1455,5204.5723,-0.44472426200028137,-2.733352624589457
3899.95,4369.3354,5191.207,-0.4215929656489659,-2.6736342817362733
3899.95,4362.5259,5177.8423,-0.5905887871823305,-3.1235429180494094
3899.95,4355.7158,5164.4771,-0.4416089995357736,-2.6036766723557605
3899.95,4348.9062,5151.1118,-0.5798167095402507,-2.9759100386069055
3899.95,4342.0962,5137.7466,-0.5361417223500322,-2.937444497683484
3899.95,4335.2861,5124.3818,-0.5242469549103689,-2.956492329816388
3899.95,4328.4766,5111.0166,-0.5327287555779789,-2.8823857312635677
3899.95,4321.6665,5097.6514,-0.5242469549103689,-2.659245751320532
3899.95,4314.8569,5084.2861,-0.5447254513052273,-2.8302008860675105
3899.95,4308.0469,5070.9214,-0.6106441174292712,-3.270142803812532
3899.95,4301.2368,5057.5562,-0.6033046484082619,-3.1235429180494094
3899.95,4294.4272,5044.1909,-0.5869851861720209,-3.2968103396761093
3899.95,4287.6172,5030.8262,-0.5905887871823305,-3.270142803812532
3899.95,4280.8076,5017.4609,-0.5242469549103689,-2.659245751320532
3899.95,4273.9976,5004.0957,-0.5621171637691152,-3.3813653430337873
3899.95,4267.188,4990.7305,-0.5225591936451927,-3.170061851458401
3899.95,4260.3779,4977.3657,-0.49429468247186154,-3.036533434957924
3899.95,4253.5679,4964.0005,-0.463622432457841,-2.9759100386069055
3899.95,4246.7583,4950.6353,-0.5378525838266089,-3.1941588223313637
3899.95,4239.9482,4937.2705,-0.5447254513052273,-3.324208563134045
3899.95,4233.1387,4923.9053,-0.5887853634355238,-3.2188508251806955
3899.95,4226.3286,4910.54,-0.570927777925758,-3.270142803812532
3899.95,4219.5186,4897.1748,-0.5191921927656508,-2.47692657544778
3899.95,4212.709,4883.8101,-0.509158680554803,-3.101070567236505
3899.95,4205.8989,4870.4448,-0.509158680554803,-3.2188508251806955
3899.95,4199.0894,4857.0796,-0.5412831130391169,-3.2188508251806955
3899.95,4192.2793,4843.7144,-0.48126520340277806,-3.036533434957924
3899.95,4185.4692,4830.3496,-0.5108239571007129,-3.0575864009026774
